Class	Field	Type
	operator	P
	text	P
ConditionalTextOperator		C
	beginsWith	E
	contains	E
	endsWith	E
	invalid	E
	notContains	E
ConditionalTopBottomCriterionType		C
	bottomItems	E
	bottomPercent	E
	invalid	E
	topItems	E
	topPercent	E
ConditionalTopBottomRule		C
	rank	P
	type	P
ConnectorType		C
	curve	E
	elbow	E
	straight	E
ContentType		C
	mention	E
	plain	E
CultureInfo		C
	getDatetimeFormat()	M
	getName()	M
	getNumberFormat()	M
CustomConditionalFormat		C
	getFormat()	M
	getRule()	M
CustomDataValidation		C
	formula	P
CustomProperty		C
	delete()	M
	getKey()	M
	getType()	M
	getValue()	M
	setValue(value)	M
CustomXmlPart		C
	delete()	M
	getId()	M
	getNamespaceUri()	M
	getXml()	M
	setXml(xml)	M
DataBarConditionalFormat		C
	getAxisColor()	M
	getAxisFormat()	M
	getBarDirection()	M
	getLowerBoundRule()	M
	getNegativeFormat()	M
	getPositiveFormat()	M
	getShowDataBarOnly()	M
	getUpperBoundRule()	M
	setAxisColor(axisColor)	M
	setAxisFormat(axisFormat)	M
	setBarDirection(barDirection)	M
	setLowerBoundRule(lowerBoundRule)	M
	setShowDataBarOnly(showDataBarOnly)	M
	setUpperBoundRule(upperBoundRule)	M
DataPivotHierarchy		C
	getField()	M
	getId()	M
	getName()	M
	getNumberFormat()	M
	getPosition()	M
	getShowAs()	M
	getSummarizeBy()	M
	setName(name)	M
	setNumberFormat(numberFormat)	M
	setPosition(position)	M
	setShowAs(showAs)	M
	setSummarizeBy(summarizeBy)	M
	setToDefault()	M
DataValidation		C
	clear()	M
	getErrorAlert()	M
	getIgnoreBlanks()	M
	getInvalidCells()	M
	getPrompt()	M
	getRule()	M
	getType()	M
	getValid()	M
	setErrorAlert(errorAlert)	M
	setIgnoreBlanks(ignoreBlanks)	M
	setPrompt(prompt)	M
	setRule(rule)	M
DataValidationAlertStyle		C
	information	E
	stop	E
	warning	E
DataValidationErrorAlert		C
	message	P
	showAlert	P
	style	P
	title	P
DataValidationOperator		C
	between	E
	equalTo	E
	greaterThan	E
	greaterThanOrEqualTo	E
	lessThan	E
	lessThanOrEqualTo	E
	notBetween	E
	notEqualTo	E
DataValidationPrompt		C
	message	P
	showPrompt	P
	title	P
DataValidationRule		C
	custom	P
	date	P
	decimal	P
	list	P
	textLength	P
	time	P
	wholeNumber	P
DataValidationType		C
	custom	E
	date	E
	decimal	E
	inconsistent	E
	list	E
	mixedCriteria	E
	none	E
	textLength	E
	time	E
	wholeNumber	E
DateFilterCondition		C
	after	E
	afterOrEqualTo	E
	allDatesInPeriodApril	E
	allDatesInPeriodAugust	E
	allDatesInPeriodDecember	E
	allDatesInPeriodFebruary	E
	allDatesInPeriodJanuary	E
	allDatesInPeriodJuly	E
	allDatesInPeriodJune	E
	allDatesInPeriodMarch	E
	allDatesInPeriodMay	E
	allDatesInPeriodNovember	E
	allDatesInPeriodOctober	E
	allDatesInPeriodQuarter1	E
	allDatesInPeriodQuarter2	E
	allDatesInPeriodQuarter3	E
	allDatesInPeriodQuarter4	E
	allDatesInPeriodSeptember	E
	before	E
	beforeOrEqualTo	E
	between	E
	equals	E
	lastMonth	E
	lastQuarter	E
	lastWeek	E
	lastYear	E
	nextMonth	E
	nextQuarter	E
	nextWeek	E
	nextYear	E
	thisMonth	E
	thisQuarter	E
	thisWeek	E
	thisYear	E
	today	E
	tomorrow	E
	unknown	E
	yearToDate	E
	yesterday	E
DateTimeDataValidation		C
	formula1	P
	formula2	P
	operator	P
DatetimeFormatInfo		C
	getDateSeparator()	M
	getLongDatePattern()	M
	getLongTimePattern()	M
	getShortDatePattern()	M
	getTimeSeparator()	M
DeleteShiftDirection		C
	left	E
	up	E
DocumentProperties		C
	addCustomProperty(key	M
	deleteAllCustomProperties()	M
	getAuthor()	M
	getCategory()	M
	getComments()	M
	getCompany()	M
	getCreationDate()	M
	getCustom()	M
	getCustomProperty(key)	M
	getKeywords()	M
	getLastAuthor()	M
	getManager()	M
	getRevisionNumber()	M
	getSubject()	M
	getTitle()	M
	setAuthor(author)	M
	setCategory(category)	M
	setComments(comments)	M
	setCompany(company)	M
	setKeywords(keywords)	M
	setManager(manager)	M
	setRevisionNumber(revisionNumber)	M
	setSubject(subject)	M
	setTitle(title)	M
DocumentPropertyType		C
	boolean	E
	date	E
	float	E
	number	E
	string	E
DynamicFilterCriteria		C
	aboveAverage	E
	allDatesInPeriodApril	E
	allDatesInPeriodAugust	E
	allDatesInPeriodDecember	E
	allDatesInPeriodFebruary	E
	allDatesInPeriodJanuary	E
	allDatesInPeriodJuly	E
	allDatesInPeriodJune	E
	allDatesInPeriodMarch	E
	allDatesInPeriodMay	E
	allDatesInPeriodNovember	E
	allDatesInPeriodOctober	E
	allDatesInPeriodQuarter1	E
	allDatesInPeriodQuarter2	E
	allDatesInPeriodQuarter3	E
	allDatesInPeriodQuarter4	E
	allDatesInPeriodSeptember	E
	belowAverage	E
	lastMonth	E
	lastQuarter	E
	lastWeek	E
	lastYear	E
	nextMonth	E
	nextQuarter	E
	nextWeek	E
	nextYear	E
	thisMonth	E
	thisQuarter	E
	thisWeek	E
	thisYear	E
	today	E
	tomorrow	E
	unknown	E
	yearToDate	E
	yesterday	E
FillPattern		C
	checker	E
	crissCross	E
	down	E
	gray16	E
	gray25	E
	gray50	E
	gray75	E
	gray8	E
	grid	E
	horizontal	E
	lightDown	E
	lightHorizontal	E
	lightUp	E
	lightVertical	E
	linearGradient	E
	none	E
	rectangularGradient	E
	semiGray75	E
	solid	E
	up	E
	vertical	E
Filter		C
	apply(criteria)	M
	applyBottomItemsFilter(count)	M
	applyBottomPercentFilter(percent)	M
	applyCellColorFilter(color)	M
	applyCustomFilter(criteria1	M
	applyDynamicFilter(criteria)	M
	applyFontColorFilter(color)	M
	applyIconFilter(icon)	M
	applyTopItemsFilter(count)	M
	applyTopPercentFilter(percent)	M
	applyValuesFilter(values)	M
	clear()	M
	getCriteria()	M
FilterCriteria		C
	color	P
	criterion1	P
	criterion2	P
	dynamicCriteria	P
	filterOn	P
	icon	P
	operator	P
	subField	P
	values	P
FilterDatetime		C
	date	P
	specificity	P
FilterDatetimeSpecificity		C
	day	E
	hour	E
	minute	E
	month	E
	second	E
	year	E
FilterOn		C
	bottomItems	E
	bottomPercent	E
	cellColor	E
	custom	E
	dynamic	E
	fontColor	E
	icon	E
	topItems	E
	topPercent	E
	values	E
FilterOperator		C
	and	E
	or	E
FilterPivotHierarchy		C
	getEnableMultipleFilterItems()	M
	getFields()	M
	getId()	M
	getName()	M
	getPivotField(name)	M
	getPosition()	M
	setEnableMultipleFilterItems(enableMultipleFilterItems)	M
	setName(name)	M
	setPosition(position)	M
	setToDefault()	M
FormatProtection		C
	getFormulaHidden()	M
	getLocked()	M
	setFormulaHidden(formulaHidden)	M
	setLocked(locked)	M
GeometricShape		C
	getId()	M
GeometricShapeType		C
	accentBorderCallout1	E
	accentBorderCallout2	E
	accentBorderCallout3	E
	accentCallout1	E
	accentCallout2	E
	accentCallout3	E
	actionButtonBackPrevious	E
	actionButtonBeginning	E
	actionButtonBlank	E
	actionButtonDocument	E
	actionButtonEnd	E
	actionButtonForwardNext	E
	actionButtonHelp	E
	actionButtonHome	E
	actionButtonInformation	E
	actionButtonMovie	E
	actionButtonReturn	E
	actionButtonSound	E
	arc	E
	bentArrow	E
	bentUpArrow	E
	bevel	E
	blockArc	E
	borderCallout1	E
	borderCallout2	E
	borderCallout3	E
	bracePair	E
	bracketPair	E
	callout1	E
	callout2	E
	callout3	E
	can	E
	chartPlus	E
	chartStar	E
	chartX	E
	chevron	E
	chord	E
	circularArrow	E
	cloud	E
	cloudCallout	E
	corner	E
	cornerTabs	E
	cube	E
	curvedDownArrow	E
	curvedLeftArrow	E
	curvedRightArrow	E
	curvedUpArrow	E
	decagon	E
	diagonalStripe	E
	diamond	E
	dodecagon	E
	donut	E
	doubleWave	E
	downArrow	E
	downArrowCallout	E
	ellipse	E
	ellipseRibbon	E
	ellipseRibbon2	E
	flowChartAlternateProcess	E
	flowChartCollate	E
	flowChartConnector	E
	flowChartDecision	E
	flowChartDelay	E
	flowChartDisplay	E
	flowChartDocument	E
	flowChartExtract	E
	flowChartInputOutput	E
	flowChartInternalStorage	E
	flowChartMagneticDisk	E
	flowChartMagneticDrum	E
	flowChartMagneticTape	E
	flowChartManualInput	E
	flowChartManualOperation	E
	flowChartMerge	E
	flowChartMultidocument	E
	flowChartOfflineStorage	E
	flowChartOffpageConnector	E
	flowChartOnlineStorage	E
	flowChartOr	E
	flowChartPredefinedProcess	E
	flowChartPreparation	E
	flowChartProcess	E
	flowChartPunchedCard	E
	flowChartPunchedTape	E
	flowChartSort	E
	flowChartSummingJunction	E
	flowChartTerminator	E
	foldedCorner	E
	frame	E
	funnel	E
	gear6	E
	gear9	E
	halfFrame	E
	heart	E
	heptagon	E
	hexagon	E
	homePlate	E
	horizontalScroll	E
	irregularSeal1	E
	irregularSeal2	E
	leftArrow	E
	leftArrowCallout	E
	leftBrace	E
	leftBracket	E
	leftCircularArrow	E
	leftRightArrow	E
	leftRightArrowCallout	E
	leftRightCircularArrow	E
	leftRightRibbon	E
	leftRightUpArrow	E
	leftUpArrow	E
	lightningBolt	E
	lineInverse	E
	mathDivide	E
	mathEqual	E
	mathMinus	E
	mathMultiply	E
	mathNotEqual	E
	mathPlus	E
	moon	E
	nonIsoscelesTrapezoid	E
	noSmoking	E
	notchedRightArrow	E
	octagon	E
	parallelogram	E
	pentagon	E
	pie	E
	pieWedge	E
	plaque	E
	plaqueTabs	E
	plus	E
	quadArrow	E
	quadArrowCallout	E
	rectangle	E
	ribbon	E
	ribbon2	E
	rightArrow	E
	rightArrowCallout	E
	rightBrace	E
	rightBracket	E
	rightTriangle	E
	round1Rectangle	E
	round2DiagonalRectangle	E
	round2SameRectangle	E
	roundRectangle	E
	smileyFace	E
	snip1Rectangle	E
	snip2DiagonalRectangle	E
	snip2SameRectangle	E
	snipRoundRectangle	E
	squareTabs	E
	star10	E
	star12	E
	star16	E
	star24	E
	star32	E
	star4	E
	star5	E
	star6	E
	star7	E
	star8	E
	stripedRightArrow	E
	sun	E
	swooshArrow	E
	teardrop	E
	trapezoid	E
	triangle	E
	upArrow	E
	upArrowCallout	E
	upDownArrow	E
	upDownArrowCallout	E
	uturnArrow	E
	verticalScroll	E
	wave	E
	wedgeEllipseCallout	E
	wedgeRectCallout	E
	wedgeRRectCallout	E
GroupOption		C
	byColumns	E
	byRows	E
HeaderFooter		C
	getCenterFooter()	M
	getCenterHeader()	M
	getLeftFooter()	M
	getLeftHeader()	M
	getRightFooter()	M
	getRightHeader()	M
	setCenterFooter(centerFooter)	M
	setCenterHeader(centerHeader)	M
	setLeftFooter(leftFooter)	M
	setLeftHeader(leftHeader)	M
	setRightFooter(rightFooter)	M
	setRightHeader(rightHeader)	M
HeaderFooterGroup		C
	getDefaultForAllPages()	M
	getEvenPages()	M
	getFirstPage()	M
	getOddPages()	M
	getState()	M
	getUseSheetMargins()	M
	getUseSheetScale()	M
	setState(state)	M
	setUseSheetMargins(useSheetMargins)	M
	setUseSheetScale(useSheetScale)	M
HeaderFooterState		C
	default	E
	firstAndDefault	E
	firstOddAndEven	E
	oddAndEven	E
HorizontalAlignment		C
	center	E
	centerAcrossSelection	E
	distributed	E
	fill	E
	general	E
	justify	E
	left	E
	right	E
Icon		C
	index	P
	set	P
IconSet		C
	fiveArrows	E
	fiveArrowsGray	E
	fiveBoxes	E
	fiveQuarters	E
	fiveRating	E
	fourArrows	E
	fourArrowsGray	E
	fourRating	E
	fourRedToBlack	E
	fourTrafficLights	E
	invalid	E
	threeArrows	E
	threeArrowsGray	E
	threeFlags	E
	threeSigns	E
	threeStars	E
	threeSymbols	E
	threeSymbols2	E
	threeTrafficLights1	E
	threeTrafficLights2	E
	threeTriangles	E
IconSetConditionalFormat		C
	getCriteria()	M
	getReverseIconOrder()	M
	getShowIconOnly()	M
	getStyle()	M
	setCriteria(criteria)	M
	setReverseIconOrder(reverseIconOrder)	M
	setShowIconOnly(showIconOnly)	M
	setStyle(style)	M
Image		C
	getFormat()	M
	getId()	M
	getShape()	M
ImageFittingMode		C
	fill	E
	fit	E
	fitAndCenter	E
InsertShiftDirection		C
	down	E
	right	E
IterativeCalculation		C
	getEnabled()	M
	getMaxChange()	M
	getMaxIteration()	M
	setEnabled(enabled)	M
	setMaxChange(maxChange)	M
	setMaxIteration(maxIteration)	M
KeyboardDirection		C
	down	E
	left	E
	right	E
	up	E
LabelFilterCondition		C
	beginsWith	E
	between	E
	contains	E
	endsWith	E
	equals	E
	greaterThan	E
	greaterThanOrEqualTo	E
	lessThan	E
	lessThanOrEqualTo	E
	unknown	E
Line		C
	connectBeginShape(shape	M
	connectEndShape(shape	M
	disconnectBeginShape()	M
	disconnectEndShape()	M
	getBeginArrowheadLength()	M
	getBeginArrowheadStyle()	M
	getBeginArrowheadWidth()	M
	getBeginConnectedShape()	M
	getBeginConnectedSite()	M
	getConnectorType()	M
	getEndArrowheadLength()	M
	getEndArrowheadStyle()	M
	getEndArrowheadWidth()	M
	getEndConnectedShape()	M
	getEndConnectedSite()	M
	getId()	M
	getIsBeginConnected()	M
	getIsEndConnected()	M
	getShape()	M
	setBeginArrowheadLength(beginArrowheadLength)	M
	setBeginArrowheadStyle(beginArrowheadStyle)	M
	setBeginArrowheadWidth(beginArrowheadWidth)	M
	setConnectorType(connectorType)	M
	setEndArrowheadLength(endArrowheadLength)	M
	setEndArrowheadStyle(endArrowheadStyle)	M
	setEndArrowheadWidth(endArrowheadWidth)	M
LinkedDataTypeState		C
	brokenLinkedData	E
	disambiguationNeeded	E
	fetchingData	E
	none	E
	validLinkedData	E
LinkedWorkbook		C
	breakLinks()	M
	refreshLinks()	M
ListDataValidation		C
	inCellDropDown	P
	source	P
NamedItem		C
	delete()	M
	getArrayValues()	M
	getComment()	M
	getFormula()	M
	getName()	M
	getRange()	M
	getScope()	M
	getType()	M
	getValue()	M
	getVisible()	M
	getWorksheet()	M
	setComment(comment)	M
	setFormula(formula)	M
	setVisible(visible)	M
NamedItemArrayValues		C
	getTypes()	M
	getValues()	M
NamedItemScope		C
	workbook	E
	worksheet	E
NamedItemType		C
	array	E
	boolean	E
	double	E
	error	E
	integer	E
	range	E
	string	E
NamedSheetView		C
	activate()	M
	delete()	M
	duplicate(name)	M
	getName()	M
	setName(name)	M
NumberFormatCategory		C
	accounting	E
	currency	E
	custom	E
	date	E
	fraction	E
	general	E
	number	E
	percentage	E
	scientific	E
	special	E
	text	E
	time	E
NumberFormatInfo		C
	getNumberDecimalSeparator()	M
	getNumberGroupSeparator()	M
PageBreak		C
	delete()	M
	getCellAfterBreak()	M
	getColumnIndex()	M
PageLayout		C
	getBlackAndWhite()	M
	getBottomMargin()	M
	getCenterHorizontally()	M
	getCenterVertically()	M
	getDraftMode()	M
	getFirstPageNumber()	M
	getFooterMargin()	M
	getHeaderMargin()	M
	getHeadersFooters()	M
	getLeftMargin()	M
	getOrientation()	M
	getPaperSize()	M
	getPrintArea()	M
	getPrintComments()	M
	getPrintErrors()	M
	getPrintGridlines()	M
	getPrintHeadings()	M
	getPrintOrder()	M
	getPrintTitleColumns()	M
	getPrintTitleRows()	M
	getRightMargin()	M
	getTopMargin()	M
	getZoom()	M
	setBlackAndWhite(blackAndWhite)	M
	setBottomMargin(bottomMargin)	M
	setCenterHorizontally(centerHorizontally)	M
	setCenterVertically(centerVertically)	M
	setDraftMode(draftMode)	M
	setFirstPageNumber(firstPageNumber)	M
	setFooterMargin(footerMargin)	M
	setHeaderMargin(headerMargin)	M
	setLeftMargin(leftMargin)	M
	setOrientation(orientation)	M
	setPaperSize(paperSize)	M
	setPrintArea(printArea)	M
	setPrintComments(printComments)	M
	setPrintErrors(printErrors)	M
	setPrintGridlines(printGridlines)	M
	setPrintHeadings(printHeadings)	M
	setPrintMargins(unit	M
	setPrintOrder(printOrder)	M
	setPrintTitleColumns(printTitleColumns)	M
	setPrintTitleRows(printTitleRows)	M
	setRightMargin(rightMargin)	M
	setTopMargin(topMargin)	M
	setZoom(zoom)	M
PageLayoutMarginOptions		C
	bottom	P
	footer	P
	header	P
	left	P
	right	P
	top	P
PageLayoutZoomOptions		C
	horizontalFitToPages	P
	scale	P
	verticalFitToPages	P
PageOrientation		C
	landscape	E
	portrait	E
PaperType		C
	a3	E
	a4	E
	a4Small	E
	a5	E
	b4	E
	b5	E
	csheet	E
	dsheet	E
	envelope10	E
	envelope11	E
	envelope12	E
	envelope14	E
	envelope9	E
	envelopeB4	E
	envelopeB5	E
	envelopeB6	E
	envelopeC3	E
	envelopeC4	E
	envelopeC5	E
	envelopeC6	E
	envelopeC65	E
	envelopeDL	E
	envelopeItaly	E
	envelopeMonarch	E
	envelopePersonal	E
	esheet	E
	executive	E
	fanfoldLegalGerman	E
	fanfoldStdGerman	E
	fanfoldUS	E
	folio	E
	ledger	E
	legal	E
	letter	E
	letterSmall	E
	note	E
	paper10x14	E
	paper11x17	E
	quatro	E
	statement	E
	tabloid	E
PictureFormat		C
	bmp	E
	gif	E
	jpeg	E
	png	E
	svg	E
	unknown	E
PivotAxis		C
	column	E
	data	E
	filter	E
	row	E
	unknown	E
PivotDateFilter		C
	comparator	P
	condition	P
	exclusive	P
	lowerBound	P
	upperBound	P
	wholeDays	P
PivotField		C
	applyFilter(filter)	M
	clearAllFilters()	M
	clearFilter(filterType)	M
	getFilters()	M
	getId()	M
	getItems()	M
	getName()	M
	getPivotItem(name)	M
	getShowAllItems()	M
	getSubtotals()	M
	isFiltered(filterType)	M
	setName(name)	M
	setShowAllItems(showAllItems)	M
	setSubtotals(subtotals)	M
	sortByLabels(sortBy)	M
	sortByValues(sortBy	M
PivotFilters		C
	dateFilter	P
	labelFilter	P
	manualFilter	P
	valueFilter	P
PivotFilterTopBottomCriterion		C
	bottomItems	E
	bottomPercent	E
	bottomSum	E
	invalid	E
	topItems	E
	topPercent	E
	topSum	E
PivotFilterType		C
	date	E
	label	E
	manual	E
	unknown	E
	value	E
PivotHierarchy		C
	getFields()	M
	getId()	M
	getName()	M
	getPivotField(name)	M
	setName(name)	M
PivotItem		C
	getId()	M
	getIsExpanded()	M
	getName()	M
	getVisible()	M
	setIsExpanded(isExpanded)	M
	setName(name)	M
	setVisible(visible)	M
PivotLabelFilter		C
	condition	P
	exclusive	P
	lowerBound	P
	substring	P
	upperBound	P
PivotLayout		C
	getAutoFormat()	M
	getBodyAndTotalRange()	M
	getColumnLabelRange()	M
	getDataHierarchy(cell)	M
	getEnableFieldList()	M
	getFilterAxisRange()	M
	getLayoutType()	M
	getPreserveFormatting()	M
	getRange()	M
	getRowLabelRange()	M
	getShowColumnGrandTotals()	M
	getShowRowGrandTotals()	M
	getSubtotalLocation()	M
	setAutoFormat(autoFormat)	M
	setAutoSortOnCell(cell	M
	setEnableFieldList(enableFieldList)	M
	setLayoutType(layoutType)	M
	setPreserveFormatting(preserveFormatting)	M
	setShowColumnGrandTotals(showColumnGrandTotals)	M
	setShowRowGrandTotals(showRowGrandTotals)	M
	setSubtotalLocation(subtotalLocation)	M
PivotLayoutType		C
	compact	E
	outline	E
	tabular	E
PivotManualFilter		C
	selectedItems	P
PivotTable		C
	addColumnHierarchy(pivotHierarchy)	M
	addDataHierarchy(pivotHierarchy)	M
	addFilterHierarchy(pivotHierarchy)	M
	addRowHierarchy(pivotHierarchy)	M
	delete()	M
	getAllowMultipleFiltersPerField()	M
	getColumnHierarchies()	M
	getColumnHierarchy(name)	M
	getDataHierarchies()	M
	getDataHierarchy(name)	M
	getEnableDataValueEditing()	M
	getFilterHierarchies()	M
	getFilterHierarchy(name)	M
	getHierarchies()	M
	getHierarchy(name)	M
	getId()	M
	getLayout()	M
	getName()	M
	getRowHierarchies()	M
	getRowHierarchy(name)	M
	getUseCustomSortLists()	M
	getWorksheet()	M
	refresh()	M
	removeColumnHierarchy(rowColumnPivotHierarchy)	M
	removeDataHierarchy(DataPivotHierarchy)	M
	removeFilterHierarchy(filterPivotHierarchy)	M
	removeRowHierarchy(rowColumnPivotHierarchy)	M
	setAllowMultipleFiltersPerField(allowMultipleFiltersPerField)	M
	setEnableDataValueEditing(enableDataValueEditing)	M
	setName(name)	M
	setUseCustomSortLists(useCustomSortLists)	M
PivotTableStyle		C
	delete()	M
	duplicate()	M
	getName()	M
	getReadOnly()	M
	setName(name)	M
PivotValueFilter		C
	comparator	P
	condition	P
	exclusive	P
	lowerBound	P
	selectionType	P
	threshold	P
	upperBound	P
	value	P
Placement		C
	absolute	E
	oneCell	E
	twoCell	E
PredefinedCellStyle		C
	delete()	M
	getAutoIndent()	M
	getBorders()	M
	getBuiltIn()	M
	getFill()	M
	getFont()	M
	getFormulaHidden()	M
	getHorizontalAlignment()	M
	getIncludeAlignment()	M
	getIncludeBorder()	M
	getIncludeFont()	M
	getIncludeNumber()	M
	getIncludePatterns()	M
	getIncludeProtection()	M
	getIndentLevel()	M
	getLocked()	M
	getName()	M
	getNumberFormat()	M
	getNumberFormatLocal()	M
	getRangeBorder(index)	M
	getRangeBorderTintAndShade()	M
	getReadingOrder()	M
	getShrinkToFit()	M
	getTextOrientation()	M
	getVerticalAlignment()	M
	getWrapText()	M
	setAutoIndent(autoIndent)	M
	setFormulaHidden(formulaHidden)	M
	setHorizontalAlignment(horizontalAlignment)	M
	setIncludeAlignment(includeAlignment)	M
	setIncludeBorder(includeBorder)	M
	setIncludeFont(includeFont)	M
	setIncludeNumber(includeNumber)	M
	setIncludePatterns(includePatterns)	M
	setIncludeProtection(includeProtection)	M
	setIndentLevel(indentLevel)	M
	setLocked(locked)	M
	setNumberFormat(numberFormat)	M
	setNumberFormatLocal(numberFormatLocal)	M
	setRangeBorderTintAndShade(rangeBorderTintAndShade)	M
	setReadingOrder(readingOrder)	M
	setShrinkToFit(shrinkToFit)	M
	setTextOrientation(textOrientation)	M
	setVerticalAlignment(verticalAlignment)	M
	setWrapText(wrapText)	M
PresetCriteriaConditionalFormat		C
	getFormat()	M
	getRule()	M
	setRule(rule)	M
PrintComments		C
	endSheet	E
	inPlace	E
	noComments	E
PrintErrorType		C
	asDisplayed	E
	blank	E
	dash	E
	notAvailable	E
PrintMarginUnit		C
	centimeters	E
	inches	E
	points	E
PrintOrder		C
	downThenOver	E
	overThenDown	E
ProtectionSelectionMode		C
	none	E
	normal	E
	unlocked	E
Range		C
	addConditionalFormat(type)	M
	autoFill(destinationRange	M
	calculate()	M
	clear(applyTo)	M
	clearAllConditionalFormats()	M
	convertDataTypeToText()	M
	copyFrom(sourceRange	M
	delete(shift)	M
	find(text	M
	flashFill()	M
	getAbsoluteResizedRange(numRows	M
	getAddress()	M
	getAddressLocal()	M
	getBoundingRect(anotherRange)	M
	getCell(row	M
	getCellCount()	M
	getColumn(column)	M
	getColumnCount()	M
	getColumnHidden()	M
	getColumnIndex()	M
	getColumnsAfter(count)	M
	getColumnsBefore(count)	M
	getConditionalFormat(id)	M
	getConditionalFormats()	M
	getDataValidation()	M
	getDirectPrecedents()	M
	getEntireColumn()	M
	getEntireRow()	M
	getExtendedRange(direction	M
	getFormat()	M
	getFormula()	M
	getFormulaLocal()	M
	getFormulaR1C1()	M
	getFormulas()	M
	getFormulasLocal()	M
	getFormulasR1C1()	M
	getHasSpill()	M
	getHeight()	M
	getHidden()	M
	getHyperlink()	M
	getImage()	M
	getIntersection(anotherRange)	M
	getIsEntireColumn()	M
	getIsEntireRow()	M
	getLastCell()	M
	getLastColumn()	M
	getLastRow()	M
	getLeft()	M
	getLinkedDataTypeState()	M
	getLinkedDataTypeStates()	M
	getMergedAreas()	M
	getNumberFormat()	M
	getNumberFormatCategories()	M
	getNumberFormatCategory()	M
	getNumberFormatLocal()	M
	getNumberFormats()	M
	getNumberFormatsLocal()	M
	getOffsetRange(rowOffset	M
	getPivotTables(fullyContained)	M
	getPredefinedCellStyle()	M
	getRangeEdge(direction	M
	getResizedRange(deltaRows	M
	getRow(row)	M
	getRowCount()	M
	getRowHidden()	M
	getRowIndex()	M
	getRowsAbove(count)	M
	getRowsBelow(count)	M
	getSavedAsArray()	M
	getSort()	M
	getSpecialCells(cellType	M
	getSpillingToRange()	M
	getSpillParent()	M
	getSurroundingRegion()	M
	getTables(fullyContained)	M
	getText()	M
	getTexts()	M
	getTop()	M
	getUsedRange(valuesOnly)	M
	getValue()	M
	getValues()	M
	getValueType()	M
	getValueTypes()	M
	getVisibleView()	M
	getWidth()	M
	getWorksheet()	M
	group(groupOption)	M
	hideGroupDetails(groupOption)	M
	insert(shift)	M
	merge(across)	M
	moveTo(destinationRange)	M
	removeDuplicates(columns	M
	replaceAll(text	M
	select()	M
	setColumnHidden(columnHidden)	M
	setDirty()	M
	setFormula(formula)	M
	setFormulaLocal(formulaLocal)	M
	setFormulaR1C1(formulaR1C1)	M
	setFormulas(formulas)	M
	setFormulasLocal(formulasLocal)	M
	setFormulasR1C1(formulasR1C1)	M
	setHyperlink(hyperlink)	M
	setNumberFormat(numberFormat)	M
	setNumberFormatLocal(numberFormatLocal)	M
	setNumberFormats(numberFormats)	M
	setNumberFormatsLocal(numberFormatsLocal)	M
	setPredefinedCellStyle(predefinedCellStyle)	M
	setRowHidden(rowHidden)	M
	setValue(value)	M
	setValues(values)	M
	showCard()	M
	showGroupDetails(groupOption)	M
	ungroup(groupOption)	M
	unmerge()	M
RangeAreas		C
	addConditionalFormat(type)	M
	calculate()	M
	clear(applyTo)	M
	clearAllConditionalFormats()	M
	convertDataTypeToText()	M
	copyFrom(sourceRange	M
	getAddress()	M
	getAddressLocal()	M
	getAreaCount()	M
	getAreas()	M
	getCellCount()	M
	getConditionalFormat(id)	M
	getConditionalFormats()	M
	getDataValidation()	M
	getEntireColumn()	M
	getEntireRow()	M
	getFormat()	M
	getIntersection(anotherRange)	M
	getIsEntireColumn()	M
	getIsEntireRow()	M
	getOffsetRangeAreas(rowOffset	M
	getPredefinedCellStyle()	M
	getSpecialCells(cellType	M
	getTables(fullyContained)	M
	getUsedRangeAreas(valuesOnly)	M
	getWorksheet()	M
	setDirty()	M
	setPredefinedCellStyle(predefinedCellStyle)	M
RangeBorder		C
	getColor()	M
	getSideIndex()	M
	getStyle()	M
	getTintAndShade()	M
	getWeight()	M
	setColor(color)	M
	setStyle(style)	M
	setTintAndShade(tintAndShade)	M
	setWeight(weight)	M
RangeCopyType		C
	all	E
	formats	E
	formulas	E
	link	E
	values	E
RangeFill		C
	clear()	M
	getColor()	M
	getPattern()	M
	getPatternColor()	M
	getPatternTintAndShade()	M
	getTintAndShade()	M
	setColor(color)	M
	setPattern(pattern)	M
	setPatternColor(patternColor)	M
	setPatternTintAndShade(patternTintAndShade)	M
	setTintAndShade(tintAndShade)	M
RangeFont		C
	getBold()	M
	getColor()	M
	getItalic()	M
	getName()	M
	getSize()	M
	getStrikethrough()	M
	getSubscript()	M
	getSuperscript()	M
	getTintAndShade()	M
	getUnderline()	M
	setBold(bold)	M
	setColor(color)	M
	setItalic(italic)	M
	setName(name)	M
	setSize(size)	M
	setStrikethrough(strikethrough)	M
	setSubscript(subscript)	M
	setSuperscript(superscript)	M
	setTintAndShade(tintAndShade)	M
	setUnderline(underline)	M
RangeFormat		C
	adjustIndent(amount)	M
	autofitColumns()	M
	autofitRows()	M
	getAutoIndent()	M
	getBorders()	M
	getColumnWidth()	M
	getFill()	M
	getFont()	M
	getHorizontalAlignment()	M
	getIndentLevel()	M
	getProtection()	M
	getRangeBorder(index)	M
	getRangeBorderTintAndShade()	M
	getReadingOrder()	M
	getRowHeight()	M
	getShrinkToFit()	M
	getTextOrientation()	M
	getUseStandardHeight()	M
	getUseStandardWidth()	M
	getVerticalAlignment()	M
	getWrapText()	M
	setAutoIndent(autoIndent)	M
